 # t     Ep     Ec     Et
   42.7000008      -3.97253316E-03   4.20983839       4.20586586    
   42.7999992      -3.96299269E-03   4.20982885       4.20586586    
   42.9000015      -3.95349693E-03   4.20981932       4.20586586    
   43.0000000      -3.94404586E-03   4.20980978       4.20586586    
   43.1000023      -3.93463857E-03   4.20980024       4.20586538    
   43.2000008      -3.92527459E-03   4.20979118       4.20586586    
   43.2999992      -3.91595392E-03   4.20978165       4.20586586    
   43.4000015      -3.90667655E-03   4.20977259       4.20586586    
   43.5000000      -3.89744132E-03   4.20976305       4.20586538    
   43.6000023      -3.88824847E-03   4.20975399       4.20586586    
   43.7000008      -3.87909776E-03   4.20974493       4.20586586    
   43.7999992      -3.86998872E-03   4.20973587       4.20586586    
   43.9000015      -3.86092113E-03   4.20972681       4.20586586    
   44.0000000      -3.85189452E-03   4.20971775       4.20586586    
   44.1000023      -3.84290912E-03   4.20970869       4.20586586    
   44.2000008      -3.83396447E-03   4.20969963       4.20586586    
   44.2999992      -3.82506056E-03   4.20969057       4.20586538    
   44.4000015      -3.81619693E-03   4.20968199       4.20586586    
   44.5000000      -3.80737334E-03   4.20967293       4.20586538    
   44.6000023      -3.79858981E-03   4.20966387       4.20586538    
   44.7000008      -3.78984609E-03   4.20965528       4.20586538    
   44.7999992      -3.78114195E-03   4.20964670       4.20586538    
   44.9000015      -3.77247762E-03   4.20963812       4.20586586    
   45.0000000      -3.76385241E-03   4.20962906       4.20586538    
   45.1000023      -3.75526655E-03   4.20962048       4.20586538    
   45.2000008      -3.74671980E-03   4.20961237       4.20586586    
   45.2999992      -3.73821193E-03   4.20960379       4.20586538    
   45.4000015      -3.72974295E-03   4.20959520       4.20586538    
   45.5000000      -3.72131239E-03   4.20958662       4.20586538    
   45.6000023      -3.71292024E-03   4.20957851       4.20586538    
   45.7000008      -3.70456651E-03   4.20956993       4.20586538    
   45.7999992      -3.69625096E-03   4.20956135       4.20586491    
   45.9000015      -3.68797360E-03   4.20955324       4.20586538    
   46.0000000      -3.67973396E-03   4.20954514       4.20586538    
   46.1000023      -3.67153180E-03   4.20953655       4.20586491    
   46.2000008      -3.66336759E-03   4.20952845       4.20586491    
   46.2999992      -3.65524041E-03   4.20952034       4.20586491    
   46.4000015      -3.64715070E-03   4.20951223       4.20586491    
   46.5000000      -3.63909802E-03   4.20950413       4.20586491    
   46.6000023      -3.63108236E-03   4.20949602       4.20586491    
   46.7000008      -3.62310326E-03   4.20948839       4.20586538    
